id,beaconAdvInt,beaconTxPower,beaconDeployed,beaconRSSI,beaconName,beaconMac,detectionTime,mobileModel,reg_date
1,100,0,3,-76,DragBcon ,D0:B5:C2:CD:29:49,727.2788,ASUS_Z00AD,10-08-17 20:40
2,100,0,3,-82,DragBcon ,D0:B5:C2:CD:2D:BD,899.1619,ASUS_Z00AD,10-08-17 20:40
3,100,0,3,-79,DragBcon ,D0:B5:C2:CD:2D:E3,960.7336,ASUS_Z00AD,10-08-17 20:40
4,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,1731.2615,ASUS_Z00AD,10-08-17 20:40
5,100,0,3,-79,DragBcon ,D0:B5:C2:CD:2D:BD,1892.4751,ASUS_Z00AD,10-08-17 20:40
6,100,0,3,-77,DragBcon ,D0:B5:C2:CD:2D:E3,1960.8212,ASUS_Z00AD,10-08-17 20:40
7,100,0,3,-72,DragBcon ,D0:B5:C2:CD:29:49,2747.186,ASUS_Z00AD,10-08-17 20:40
8,100,0,3,-86,DragBcon ,D0:B5:C2:CD:2D:BD,2899.1235,ASUS_Z00AD,10-08-17 20:40
9,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,2969.233,ASUS_Z00AD,10-08-17 20:40
10,100,0,3,-65,DragBcon ,D0:B5:C2:CD:29:49,3741.5209,ASUS_Z00AD,10-08-17 20:40
11,100,0,3,-76,DragBcon ,D0:B5:C2:CD:2D:E3,3975.453,ASUS_Z00AD,10-08-17 20:40
12,100,0,3,-65,DragBcon ,D0:B5:C2:CD:29:49,4748.0973,ASUS_Z00AD,10-08-17 20:41
13,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:E3,4978.9025,ASUS_Z00AD,10-08-17 20:41
14,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,5755.5852,ASUS_Z00AD,10-08-17 20:41
15,100,0,3,-73,DragBcon ,D0:B5:C2:CD:2D:E3,5982.7692,ASUS_Z00AD,10-08-17 20:41
16,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,6763.947,ASUS_Z00AD,10-08-17 20:41
17,100,0,3,-65,DragBcon ,D0:B5:C2:CD:29:49,7764.3595,ASUS_Z00AD,10-08-17 20:41
18,100,0,3,-71,DragBcon ,D0:B5:C2:CD:2D:E3,7988.2455,ASUS_Z00AD,10-08-17 20:41
19,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,8766.4352,ASUS_Z00AD,10-08-17 20:41
20,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,8995.9695,ASUS_Z00AD,10-08-17 20:41
21,100,0,3,-74,DragBcon ,D0:B5:C2:CD:29:49,9772.5616,ASUS_Z00AD,10-08-17 20:41
22,100,0,3,-86,DragBcon ,D0:B5:C2:CD:2D:E3,9999.7031,ASUS_Z00AD,10-08-17 20:41
23,100,0,3,-74,DragBcon ,D0:B5:C2:CD:29:49,10774.5636,ASUS_Z00AD,10-08-17 20:41
24,100,0,3,-82,DragBcon ,D0:B5:C2:CD:2D:BD,10937.6169,ASUS_Z00AD,10-08-17 20:41
25,100,0,3,-84,DragBcon ,D0:B5:C2:CD:2D:E3,10999.0671,ASUS_Z00AD,10-08-17 20:41
26,100,0,3,-73,DragBcon ,D0:B5:C2:CD:29:49,11778.1476,ASUS_Z00AD,10-08-17 20:41
27,100,0,3,-82,DragBcon ,D0:B5:C2:CD:2D:BD,11939.2156,ASUS_Z00AD,10-08-17 20:41
28,100,0,3,-83,DragBcon ,D0:B5:C2:CD:2D:E3,12010.76,ASUS_Z00AD,10-08-17 20:41
29,100,0,3,-74,DragBcon ,D0:B5:C2:CD:29:49,12788.1751,ASUS_Z00AD,10-08-17 20:41
30,100,0,3,-79,DragBcon ,D0:B5:C2:CD:2D:BD,12947.2876,ASUS_Z00AD,10-08-17 20:41
31,100,0,3,-84,DragBcon ,D0:B5:C2:CD:2D:E3,13016.6287,ASUS_Z00AD,10-08-17 20:41
32,100,0,3,-75,DragBcon ,D0:B5:C2:CD:29:49,13798.0717,ASUS_Z00AD,10-08-17 20:41
33,100,0,3,-82,DragBcon ,D0:B5:C2:CD:2D:BD,13952.8775,ASUS_Z00AD,10-08-17 20:41
34,100,0,3,-85,DragBcon ,D0:B5:C2:CD:2D:E3,14020.4054,ASUS_Z00AD,10-08-17 20:41
35,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,14804.341,ASUS_Z00AD,10-08-17 20:41
36,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,15017.7877,ASUS_Z00AD,10-08-17 20:41
37,100,0,3,-66,DragBcon ,D0:B5:C2:CD:29:49,15812.7621,ASUS_Z00AD,10-08-17 20:41
38,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,16023.0551,ASUS_Z00AD,10-08-17 20:41
39,100,0,3,-65,DragBcon ,D0:B5:C2:CD:29:49,16818.9143,ASUS_Z00AD,10-08-17 20:41
40,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,17024.7529,ASUS_Z00AD,10-08-17 20:41
41,100,0,3,-65,DragBcon ,D0:B5:C2:CD:29:49,17826.3614,ASUS_Z00AD,10-08-17 20:41
42,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:E3,18035.0536,ASUS_Z00AD,10-08-17 20:41
43,100,0,3,-65,DragBcon ,D0:B5:C2:CD:29:49,18833.7441,ASUS_Z00AD,10-08-17 20:41
44,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,19036.045,ASUS_Z00AD,10-08-17 20:41
45,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,19847.0488,ASUS_Z00AD,10-08-17 20:41
46,100,0,3,-86,DragBcon ,D0:B5:C2:CD:2D:BD,19985.691,ASUS_Z00AD,10-08-17 20:41
47,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,20041.7785,ASUS_Z00AD,10-08-17 20:41
48,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,20848.1498,ASUS_Z00AD,10-08-17 20:41
49,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,21049.2896,ASUS_Z00AD,10-08-17 20:41
50,100,0,3,-65,DragBcon ,D0:B5:C2:CD:29:49,21857.6845,ASUS_Z00AD,10-08-17 20:41
51,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,22049.6478,ASUS_Z00AD,10-08-17 20:41
52,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,22865.929,ASUS_Z00AD,10-08-17 20:41
53,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,23062.3224,ASUS_Z00AD,10-08-17 20:41
54,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,23875.0787,ASUS_Z00AD,10-08-17 20:41
55,100,0,3,-84,DragBcon ,D0:B5:C2:CD:2D:BD,24005.2596,ASUS_Z00AD,10-08-17 20:41
56,100,0,3,-73,DragBcon ,D0:B5:C2:CD:2D:E3,24055.966,ASUS_Z00AD,10-08-17 20:41
57,100,0,3,-74,DragBcon ,D0:B5:C2:CD:29:49,24876.9627,ASUS_Z00AD,10-08-17 20:41
58,100,0,3,-82,DragBcon ,D0:B5:C2:CD:2D:BD,25013.5981,ASUS_Z00AD,10-08-17 20:41
59,100,0,3,-82,DragBcon ,D0:B5:C2:CD:2D:E3,25063.9782,ASUS_Z00AD,10-08-17 20:41
