id,beaconAdvInt,beaconTxPower,beaconDeployed,beaconRSSI,beaconName,beaconMac,detectionTime,mobileModel,reg_date
1,100,0,3,-59,DragBcon ,D0:B5:C2:CD:2D:BD,335.7824,SM-T713,04-07-17 16:54
2,100,0,3,-50,DragBcon ,D0:B5:C2:CD:2D:E3,441.2211,SM-T713,04-07-17 16:54
3,100,0,3,-64,DragBcon ,D0:B5:C2:CD:2D:E3,1446.1285,SM-T713,04-07-17 16:54
4,100,0,3,-63,DragBcon ,D0:B5:C2:CD:29:49,1487.5197,SM-T713,04-07-17 16:54
5,100,0,3,-58,DragBcon ,D0:B5:C2:CD:2D:BD,2357.1661,SM-T713,04-07-17 16:54
6,100,0,3,-61,DragBcon ,D0:B5:C2:CD:29:49,2481.181,SM-T713,04-07-17 16:54
7,100,0,3,-59,DragBcon ,D0:B5:C2:CD:2D:BD,3366.6122,SM-T713,04-07-17 16:54
8,100,0,3,-56,DragBcon ,D0:B5:C2:CD:2D:E3,3456.3536,SM-T713,04-07-17 16:54
9,100,0,3,-60,DragBcon ,D0:B5:C2:CD:29:49,3491.7661,SM-T713,04-07-17 16:54
10,100,0,3,-65,DragBcon ,D0:B5:C2:CD:29:49,4498.6172,SM-T713,04-07-17 16:54
11,100,0,3,-60,DragBcon ,D0:B5:C2:CD:2D:BD,5373.9199,SM-T713,04-07-17 16:54
12,100,0,3,-68,DragBcon ,D0:B5:C2:CD:29:49,5500.3307,SM-T713,04-07-17 16:54
13,100,0,3,-68,DragBcon ,D0:B5:C2:CD:29:49,6508.0603,SM-T713,04-07-17 16:54
14,100,0,3,-54,DragBcon ,D0:B5:C2:CD:2D:BD,7378.6705,SM-T713,04-07-17 16:54
15,100,0,3,-62,DragBcon ,D0:B5:C2:CD:29:49,7503.1136,SM-T713,04-07-17 16:54
16,100,0,3,-58,DragBcon ,D0:B5:C2:CD:2D:E3,8481.3135,SM-T713,04-07-17 16:54
17,100,0,3,-65,DragBcon ,D0:B5:C2:CD:29:49,8525.9525,SM-T713,04-07-17 16:54
18,100,0,3,-53,DragBcon ,D0:B5:C2:CD:2D:BD,9404.1901,SM-T713,04-07-17 16:54
19,100,0,3,-60,DragBcon ,D0:B5:C2:CD:29:49,9516.0675,SM-T713,04-07-17 16:54
20,100,0,3,-53,DragBcon ,D0:B5:C2:CD:2D:BD,10392.557,SM-T713,04-07-17 16:54
21,100,0,3,-56,DragBcon ,D0:B5:C2:CD:2D:E3,10479.9141,SM-T713,04-07-17 16:54
22,100,0,3,-67,DragBcon ,D0:B5:C2:CD:29:49,10521.5131,SM-T713,04-07-17 16:54
23,100,0,3,-54,DragBcon ,D0:B5:C2:CD:2D:BD,11412.4831,SM-T713,04-07-17 16:54
24,100,0,3,-56,DragBcon ,D0:B5:C2:CD:2D:E3,11487.1123,SM-T713,04-07-17 16:54
25,100,0,3,-76,DragBcon ,D0:B5:C2:CD:29:49,11528.103,SM-T713,04-07-17 16:54
26,100,0,3,-60,DragBcon ,D0:B5:C2:CD:2D:BD,12407.3619,SM-T713,04-07-17 16:54
27,100,0,3,-54,DragBcon ,D0:B5:C2:CD:2D:E3,12510.5835,SM-T713,04-07-17 16:54
28,100,0,3,-74,DragBcon ,D0:B5:C2:CD:29:49,12537.6097,SM-T713,04-07-17 16:54
29,100,0,3,-56,DragBcon ,D0:B5:C2:CD:2D:E3,14501.3803,SM-T713,04-07-17 16:54
30,100,0,3,-54,DragBcon ,D0:B5:C2:CD:2D:BD,15430.6003,SM-T713,04-07-17 16:54
31,100,0,3,-57,DragBcon ,D0:B5:C2:CD:2D:E3,15504.822,SM-T713,04-07-17 16:54
32,100,0,3,-54,DragBcon ,D0:B5:C2:CD:2D:BD,16427.8461,SM-T713,04-07-17 16:54
33,100,0,3,-58,DragBcon ,D0:B5:C2:CD:29:49,16553.026,SM-T713,04-07-17 16:54
34,100,0,3,-52,DragBcon ,D0:B5:C2:CD:2D:BD,20441.9094,SM-T713,04-07-17 16:54
35,100,0,3,-57,DragBcon ,D0:B5:C2:CD:2D:E3,21535.6614,SM-T713,04-07-17 16:54
36,100,0,3,-69,DragBcon ,D0:B5:C2:CD:29:49,23590.7961,SM-T713,04-07-17 16:54
37,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,24588.8941,SM-T713,04-07-17 16:54
38,100,0,3,-55,DragBcon ,D0:B5:C2:CD:2D:BD,27490.7175,SM-T713,04-07-17 16:54
39,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,30616.4675,SM-T713,04-07-17 16:54
40,100,0,3,-60,DragBcon ,D0:B5:C2:CD:2D:BD,33524.5379,SM-T713,04-07-17 16:54
41,100,0,3,-54,DragBcon ,D0:B5:C2:CD:2D:BD,35521.0018,SM-T713,04-07-17 16:54
42,100,0,3,-54,DragBcon ,D0:B5:C2:CD:2D:BD,36530.9235,SM-T713,04-07-17 16:54
43,100,0,3,-58,DragBcon ,D0:B5:C2:CD:2D:E3,37610.76,SM-T713,04-07-17 16:54
44,100,0,3,-52,DragBcon ,D0:B5:C2:CD:2D:BD,38541.7053,SM-T713,04-07-17 16:54
45,100,0,3,-52,DragBcon ,D0:B5:C2:CD:2D:BD,39547.7983,SM-T713,04-07-17 16:54
46,100,0,3,-57,DragBcon ,D0:B5:C2:CD:2D:E3,42626.2726,SM-T713,04-07-17 16:54
47,100,0,3,-56,DragBcon ,D0:B5:C2:CD:2D:E3,43643.8262,SM-T713,04-07-17 16:54
48,100,0,3,-66,DragBcon ,D0:B5:C2:CD:29:49,53719.7681,SM-T713,04-07-17 16:54
49,100,0,3,-59,DragBcon ,D0:B5:C2:CD:2D:BD,56663.174,SM-T713,04-07-17 16:54
50,100,0,3,-60,DragBcon ,D0:B5:C2:CD:2D:BD,58672.8667,SM-T713,04-07-17 16:54
51,100,0,3,-57,DragBcon ,D0:B5:C2:CD:2D:E3,58726.7591,SM-T713,04-07-17 16:54
52,100,0,3,-54,DragBcon ,D0:B5:C2:CD:2D:BD,59679.677,SM-T713,04-07-17 16:54
53,100,0,3,-72,DragBcon ,D0:B5:C2:CD:29:49,59749.8619,SM-T713,04-07-17 16:54
54,100,0,3,-59,DragBcon ,D0:B5:C2:CD:2D:E3,60735.3768,SM-T713,04-07-17 16:54
55,100,0,3,-52,DragBcon ,D0:B5:C2:CD:2D:BD,61679.9253,SM-T713,04-07-17 16:54
56,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,61761.181,SM-T713,04-07-17 16:54
57,100,0,3,-56,DragBcon ,D0:B5:C2:CD:2D:E3,62730.4666,SM-T713,04-07-17 16:54
58,100,0,3,-60,DragBcon ,D0:B5:C2:CD:2D:BD,63708.4854,SM-T713,04-07-17 16:54
59,100,0,3,-70,DragBcon ,D0:B5:C2:CD:29:49,63765.1197,SM-T713,04-07-17 16:54
60,100,0,3,-60,DragBcon ,D0:B5:C2:CD:2D:BD,64701.066,SM-T713,04-07-17 16:54
61,100,0,3,-70,DragBcon ,D0:B5:C2:CD:29:49,64762.3944,SM-T713,04-07-17 16:54
62,100,0,3,-56,DragBcon ,D0:B5:C2:CD:2D:BD,65706.5054,SM-T713,04-07-17 16:54
63,100,0,3,-56,DragBcon ,D0:B5:C2:CD:2D:E3,65761.4085,SM-T713,04-07-17 16:54
64,100,0,3,-71,DragBcon ,D0:B5:C2:CD:29:49,65792.0649,SM-T713,04-07-17 16:54
65,100,0,3,-54,DragBcon ,D0:B5:C2:CD:2D:BD,66712.7561,SM-T713,04-07-17 16:54
66,100,0,3,-54,DragBcon ,D0:B5:C2:CD:2D:BD,67713.2566,SM-T713,04-07-17 16:54
67,100,0,3,-62,DragBcon ,D0:B5:C2:CD:29:49,67779.1158,SM-T713,04-07-17 16:54
68,100,0,3,-58,DragBcon ,D0:B5:C2:CD:2D:E3,68759.3203,SM-T713,04-07-17 16:54
69,100,0,3,-61,DragBcon ,D0:B5:C2:CD:29:49,68801.6437,SM-T713,04-07-17 16:54
70,100,0,3,-52,DragBcon ,D0:B5:C2:CD:2D:BD,69732.6945,SM-T713,04-07-17 16:54
71,100,0,3,-66,DragBcon ,D0:B5:C2:CD:29:49,69787.3345,SM-T713,04-07-17 16:54
72,100,0,3,-54,DragBcon ,D0:B5:C2:CD:2D:BD,70723.1459,SM-T713,04-07-17 16:54
73,100,0,3,-56,DragBcon ,D0:B5:C2:CD:2D:E3,70766.9704,SM-T713,04-07-17 16:54
74,100,0,3,-66,DragBcon ,D0:B5:C2:CD:29:49,70805.4407,SM-T713,04-07-17 16:54
75,100,0,3,-52,DragBcon ,D0:B5:C2:CD:2D:BD,71741.7529,SM-T713,04-07-17 16:54
76,100,0,3,-66,DragBcon ,D0:B5:C2:CD:29:49,71798.4305,SM-T713,04-07-17 16:54
77,100,0,3,-59,DragBcon ,D0:B5:C2:CD:2D:BD,72748.1532,SM-T713,04-07-17 16:54
78,100,0,3,-56,DragBcon ,D0:B5:C2:CD:2D:E3,72792.6032,SM-T713,04-07-17 16:54
79,100,0,3,-74,DragBcon ,D0:B5:C2:CD:29:49,73807.7929,SM-T713,04-07-17 16:54
80,100,0,3,-56,DragBcon ,D0:B5:C2:CD:2D:E3,74798.8461,SM-T713,04-07-17 16:54
81,100,0,3,-54,DragBcon ,D0:B5:C2:CD:2D:BD,75776.259,SM-T713,04-07-17 16:54
82,100,0,3,-54,DragBcon ,D0:B5:C2:CD:2D:BD,76783.223,SM-T713,04-07-17 16:54
83,100,0,3,-58,DragBcon ,D0:B5:C2:CD:2D:E3,76836.0584,SM-T713,04-07-17 16:54
84,100,0,3,-55,DragBcon ,D0:B5:C2:CD:2D:BD,77771.1741,SM-T713,04-07-17 16:54
85,100,0,3,-66,DragBcon ,D0:B5:C2:CD:29:49,78829.4091,SM-T713,04-07-17 16:54
86,100,0,3,-62,DragBcon ,D0:B5:C2:CD:29:49,93918.3872,SM-T713,04-07-17 16:54
87,100,0,3,-52,DragBcon ,D0:B5:C2:CD:2D:BD,94832.6655,SM-T713,04-07-17 16:54
